hour_year,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1608,0.07,0.08,0.08,0.11,0.14,0.15,0.1700000,0.1700000,0.1700000,0.1200000,0.1300000,0.1500000,0.1700000,0.1900000,0.2200000,0.2200000,0.2200000,0.2200000,0.2300000,0.2300000,0.2400000,0.2400000,0.2500000,0.2500000,0.2600000
1609,0.07,0.08,0.09,0.13,0.18,0.2,0.2000000,0.2200000,0.1900000,0.1900000,0.2000000,0.2100000,0.2200000,0.2400000,0.2500000,0.2400000,0.2300000,0.2100000,0.2000000,0.1800000,0.1900000,0.1900000,0.1900000,0.2000000,0.2000000
1610,0.07,0.08,0.08,0.12,0.17,0.19,0.1900000,0.2300000,0.1900000,0.2000000,0.2100000,0.2200000,0.2300000,0.2400000,0.2500000,0.2600000,0.2600000,0.2700000,0.2700000,0.2700000,0.2800000,0.2800000,0.2900000,0.3000000,0.3100000
1611,0.06,0.07,0.08,0.12,0.16,0.18,0.1900000,0.2100000,0.1900000,0.1900000,0.2000000,0.2200000,0.2300000,0.2500000,0.2700000,0.2800000,0.3000000,0.3100000,0.3200000,0.3300000,0.3400000,0.3400000,0.3500000,0.3600000,0.3700000
1612,0.07,0.08,0.08,0.12,0.16,0.18,0.1900000,0.2000000,0.1800000,0.1800000,0.2000000,0.2200000,0.2300000,0.2600000,0.2800000,0.2900000,0.3000000,0.3100000,0.3200000,0.3300000,0.3400000,0.3500000,0.3600000,0.3700000,0.3800000
1613,0.07,0.08,0.08,0.12,0.16,0.17,0.1800000,0.2100000,0.1900000,0.1900000,0.2000000,0.2200000,0.2300000,0.2500000,0.2600000,0.2700000,0.2700000,0.2800000,0.2800000,0.2900000,0.2900000,0.3000000,0.3100000,0.3200000,0.3200000
1614,0.07,0.08,0.08,0.12,0.15,0.16,0.1800000,0.1900000,0.1600000,0.1700000,0.1900000,0.2000000,0.2100000,0.2200000,0.2400000,0.2300000,0.2300000,0.2300000,0.2200000,0.2100000,0.2200000,0.2200000,0.2300000,0.2400000,0.2400000
1615,0.07,0.07,0.07,0.1,0.13,0.14,0.1400000,0.1600000,0.1500000,0.1400000,0.1500000,0.1700000,0.1800000,0.2000000,0.2100000,0.2100000,0.2100000,0.2100000,0.2000000,0.2000000,0.2000000,0.2100000,0.2100000,0.2200000,0.2200000
1616,0.05,0.06,0.05,0.05,0.06,0.06,0.0600000,0.0700000,0.0800000,0.0800000,0.0800000,0.0900000,0.1000000,0.1000000,0.1100000,0.1000000,0.1000000,0.0900000,0.0800000,0.0700000,0.0700000,0.0700000,0.0800000,0.0800000,0.0800000
1617,0.02,0.03,0.02,0.02,0.02,0.02,0.0200000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1618,0.02,0.02,0.01,0.01,0.02,0.02,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0300000
1619,0.02,0.02,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1620,0.02,0.02,0.01,0.02,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000
1621,0.01,0.02,0.01,0.02,0.02,0.04,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000
1622,0.01,0.01,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000
1623,0.01,0.01,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1624,0.01,0.01,0.01,0.01,0.02,0.02,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000
1625,0.05,0.05,0.05,0.05,0.04,0.05,0.0500000,0.0600000,0.0600000,0.0600000,0.0500000,0.0500000,0.0500000,0.0500000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000
1626,0.08,0.09,0.09,0.15,0.2,0.22,0.2400000,0.2600000,0.2300000,0.2500000,0.2600000,0.2700000,0.2800000,0.3000000,0.3100000,0.3200000,0.3400000,0.3600000,0.3800000,0.4000000,0.4100000,0.4200000,0.4300000,0.4400000,0.4500000
1627,0.08,0.08,0.09,0.14,0.19,0.21,0.2200000,0.2500000,0.2200000,0.2400000,0.2600000,0.2900000,0.3200000,0.3600000,0.3900000,0.3800000,0.3700000,0.3500000,0.3300000,0.3100000,0.3200000,0.3200000,0.3300000,0.3400000,0.3500000
1628,0.08,0.08,0.09,0.13,0.16,0.19,0.2000000,0.2200000,0.2000000,0.2100000,0.2300000,0.2500000,0.2800000,0.3100000,0.3300000,0.3200000,0.3100000,0.2900000,0.2600000,0.2400000,0.2400000,0.2500000,0.2600000,0.2600000,0.2700000
1629,0.07,0.08,0.08,0.12,0.15,0.17,0.1800000,0.1900000,0.1800000,0.1900000,0.2100000,0.2200000,0.2400000,0.2600000,0.2800000,0.2700000,0.2600000,0.2400000,0.2300000,0.2100000,0.2100000,0.2200000,0.2200000,0.2300000,0.2400000
1630,0.07,0.07,0.08,0.11,0.15,0.17,0.1700000,0.1700000,0.1600000,0.1700000,0.1800000,0.2000000,0.2100000,0.2300000,0.2400000,0.2400000,0.2200000,0.2100000,0.2000000,0.1900000,0.1900000,0.1900000,0.2000000,0.2000000,0.2100000
1631,0.07,0.08,0.08,0.12,0.15,0.16,0.1600000,0.1600000,0.1600000,0.1600000,0.1700000,0.1800000,0.1900000,0.2000000,0.2000000,0.2100000,0.2100000,0.2000000,0.2000000,0.2000000,0.2100000,0.2100000,0.2200000,0.2200000,0.2300000
1632,0.07,0.08,0.08,0.12,0.17,0.17,0.1800000,0.1800000,0.1700000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1900000,0.1900000
1633,0.07,0.08,0.09,0.13,0.18,0.2,0.2000000,0.2200000,0.1900000,0.1900000,0.2000000,0.2100000,0.2200000,0.2400000,0.2500000,0.2400000,0.2300000,0.2100000,0.2000000,0.1800000,0.1900000,0.1900000,0.1900000,0.2000000,0.2000000
1634,0.07,0.08,0.08,0.12,0.17,0.19,0.1900000,0.2300000,0.1900000,0.2000000,0.2100000,0.2200000,0.2300000,0.2400000,0.2500000,0.2600000,0.2600000,0.2700000,0.2700000,0.2700000,0.2800000,0.2800000,0.2900000,0.3000000,0.3100000
1635,0.06,0.07,0.08,0.12,0.16,0.18,0.1900000,0.2100000,0.1900000,0.1900000,0.2000000,0.2200000,0.2300000,0.2500000,0.2700000,0.2800000,0.3000000,0.3100000,0.3200000,0.3300000,0.3400000,0.3400000,0.3500000,0.3600000,0.3700000
1636,0.07,0.08,0.08,0.12,0.16,0.18,0.1900000,0.2000000,0.1800000,0.1800000,0.2000000,0.2200000,0.2300000,0.2600000,0.2800000,0.2900000,0.3000000,0.3100000,0.3200000,0.3300000,0.3400000,0.3500000,0.3600000,0.3700000,0.3800000
1637,0.07,0.08,0.08,0.12,0.16,0.17,0.1800000,0.2100000,0.1900000,0.1900000,0.2000000,0.2200000,0.2300000,0.2500000,0.2600000,0.2700000,0.2700000,0.2800000,0.2800000,0.2900000,0.2900000,0.3000000,0.3100000,0.3200000,0.3200000
1638,0.07,0.08,0.08,0.12,0.15,0.16,0.1800000,0.1900000,0.1600000,0.1700000,0.1900000,0.2000000,0.2100000,0.2200000,0.2400000,0.2300000,0.2300000,0.2300000,0.2200000,0.2100000,0.2200000,0.2200000,0.2300000,0.2400000,0.2400000
1639,0.07,0.07,0.07,0.1,0.13,0.14,0.1400000,0.1600000,0.1500000,0.1400000,0.1500000,0.1700000,0.1800000,0.2000000,0.2100000,0.2100000,0.2100000,0.2100000,0.2000000,0.2000000,0.2000000,0.2100000,0.2100000,0.2200000,0.2200000
1640,0.05,0.06,0.05,0.05,0.06,0.06,0.0600000,0.0700000,0.0800000,0.0800000,0.0800000,0.0900000,0.1000000,0.1000000,0.1100000,0.1000000,0.1000000,0.0900000,0.0800000,0.0700000,0.0700000,0.0700000,0.0800000,0.0800000,0.0800000
1641,0.02,0.03,0.02,0.02,0.02,0.02,0.0200000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1642,0.02,0.02,0.01,0.01,0.02,0.02,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0300000
1643,0.02,0.02,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1644,0.02,0.02,0.01,0.02,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000
1645,0.01,0.02,0.01,0.02,0.02,0.04,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000
1646,0.01,0.01,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000
1647,0.01,0.01,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1648,0.01,0.01,0.01,0.01,0.02,0.02,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000
1649,0.05,0.05,0.05,0.05,0.04,0.05,0.0500000,0.0600000,0.0600000,0.0600000,0.0500000,0.0500000,0.0500000,0.0500000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000
1650,0.08,0.09,0.09,0.15,0.2,0.22,0.2400000,0.2600000,0.2300000,0.2500000,0.2600000,0.2700000,0.2800000,0.3000000,0.3100000,0.3200000,0.3400000,0.3600000,0.3800000,0.4000000,0.4100000,0.4200000,0.4300000,0.4400000,0.4500000
1651,0.08,0.08,0.09,0.14,0.19,0.21,0.2200000,0.2500000,0.2200000,0.2400000,0.2600000,0.2900000,0.3200000,0.3600000,0.3900000,0.3800000,0.3700000,0.3500000,0.3300000,0.3100000,0.3200000,0.3200000,0.3300000,0.3400000,0.3500000
1652,0.08,0.08,0.09,0.13,0.16,0.19,0.2000000,0.2200000,0.2000000,0.2100000,0.2300000,0.2500000,0.2800000,0.3100000,0.3300000,0.3200000,0.3100000,0.2900000,0.2600000,0.2400000,0.2400000,0.2500000,0.2600000,0.2600000,0.2700000
1653,0.07,0.08,0.08,0.12,0.15,0.17,0.1800000,0.1900000,0.1800000,0.1900000,0.2100000,0.2200000,0.2400000,0.2600000,0.2800000,0.2700000,0.2600000,0.2400000,0.2300000,0.2100000,0.2100000,0.2200000,0.2200000,0.2300000,0.2400000
1654,0.07,0.07,0.08,0.11,0.15,0.17,0.1700000,0.1700000,0.1600000,0.1700000,0.1800000,0.2000000,0.2100000,0.2300000,0.2400000,0.2400000,0.2200000,0.2100000,0.2000000,0.1900000,0.1900000,0.1900000,0.2000000,0.2000000,0.2100000
1655,0.07,0.08,0.08,0.12,0.15,0.16,0.1600000,0.1600000,0.1600000,0.1600000,0.1700000,0.1800000,0.1900000,0.2000000,0.2000000,0.2100000,0.2100000,0.2000000,0.2000000,0.2000000,0.2100000,0.2100000,0.2200000,0.2200000,0.2300000
1656,0.07,0.08,0.08,0.12,0.17,0.17,0.1800000,0.1800000,0.1700000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1900000,0.1900000
1657,0.07,0.08,0.09,0.13,0.18,0.2,0.2000000,0.2200000,0.1900000,0.1900000,0.2000000,0.2100000,0.2200000,0.2400000,0.2500000,0.2400000,0.2300000,0.2100000,0.2000000,0.1800000,0.1900000,0.1900000,0.1900000,0.2000000,0.2000000
1658,0.07,0.08,0.08,0.12,0.17,0.19,0.1900000,0.2300000,0.1900000,0.2000000,0.2100000,0.2200000,0.2300000,0.2400000,0.2500000,0.2600000,0.2600000,0.2700000,0.2700000,0.2700000,0.2800000,0.2800000,0.2900000,0.3000000,0.3100000
1659,0.06,0.07,0.08,0.12,0.16,0.18,0.1900000,0.2100000,0.1900000,0.1900000,0.2000000,0.2200000,0.2300000,0.2500000,0.2700000,0.2800000,0.3000000,0.3100000,0.3200000,0.3300000,0.3400000,0.3400000,0.3500000,0.3600000,0.3700000
1660,0.07,0.08,0.08,0.12,0.16,0.18,0.1900000,0.2000000,0.1800000,0.1800000,0.2000000,0.2200000,0.2300000,0.2600000,0.2800000,0.2900000,0.3000000,0.3100000,0.3200000,0.3300000,0.3400000,0.3500000,0.3600000,0.3700000,0.3800000
1661,0.07,0.08,0.08,0.12,0.16,0.17,0.1800000,0.2100000,0.1900000,0.1900000,0.2000000,0.2200000,0.2300000,0.2500000,0.2600000,0.2700000,0.2700000,0.2800000,0.2800000,0.2900000,0.2900000,0.3000000,0.3100000,0.3200000,0.3200000
1662,0.07,0.08,0.08,0.12,0.15,0.16,0.1800000,0.1900000,0.1600000,0.1700000,0.1900000,0.2000000,0.2100000,0.2200000,0.2400000,0.2300000,0.2300000,0.2300000,0.2200000,0.2100000,0.2200000,0.2200000,0.2300000,0.2400000,0.2400000
1663,0.07,0.07,0.07,0.1,0.13,0.14,0.1400000,0.1600000,0.1500000,0.1400000,0.1500000,0.1700000,0.1800000,0.2000000,0.2100000,0.2100000,0.2100000,0.2100000,0.2000000,0.2000000,0.2000000,0.2100000,0.2100000,0.2200000,0.2200000
1664,0.05,0.06,0.05,0.05,0.06,0.06,0.0600000,0.0700000,0.0800000,0.0800000,0.0800000,0.0900000,0.1000000,0.1000000,0.1100000,0.1000000,0.1000000,0.0900000,0.0800000,0.0700000,0.0700000,0.0700000,0.0800000,0.0800000,0.0800000
1665,0.02,0.03,0.02,0.02,0.02,0.02,0.0200000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1666,0.02,0.02,0.01,0.01,0.02,0.02,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0300000
1667,0.02,0.02,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1668,0.02,0.02,0.01,0.02,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000
1669,0.01,0.02,0.01,0.02,0.02,0.04,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000
1670,0.01,0.01,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000
1671,0.01,0.01,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1672,0.01,0.01,0.01,0.01,0.02,0.02,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000
1673,0.05,0.05,0.05,0.05,0.04,0.05,0.0500000,0.0600000,0.0600000,0.0600000,0.0500000,0.0500000,0.0500000,0.0500000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000
1674,0.08,0.09,0.09,0.15,0.2,0.22,0.2400000,0.2600000,0.2300000,0.2500000,0.2600000,0.2700000,0.2800000,0.3000000,0.3100000,0.3200000,0.3400000,0.3600000,0.3800000,0.4000000,0.4100000,0.4200000,0.4300000,0.4400000,0.4500000
1675,0.08,0.08,0.09,0.14,0.19,0.21,0.2200000,0.2500000,0.2200000,0.2400000,0.2600000,0.2900000,0.3200000,0.3600000,0.3900000,0.3800000,0.3700000,0.3500000,0.3300000,0.3100000,0.3200000,0.3200000,0.3300000,0.3400000,0.3500000
1676,0.08,0.08,0.09,0.13,0.16,0.19,0.2000000,0.2200000,0.2000000,0.2100000,0.2300000,0.2500000,0.2800000,0.3100000,0.3300000,0.3200000,0.3100000,0.2900000,0.2600000,0.2400000,0.2400000,0.2500000,0.2600000,0.2600000,0.2700000
1677,0.07,0.08,0.08,0.12,0.15,0.17,0.1800000,0.1900000,0.1800000,0.1900000,0.2100000,0.2200000,0.2400000,0.2600000,0.2800000,0.2700000,0.2600000,0.2400000,0.2300000,0.2100000,0.2100000,0.2200000,0.2200000,0.2300000,0.2400000
1678,0.07,0.07,0.08,0.11,0.15,0.17,0.1700000,0.1700000,0.1600000,0.1700000,0.1800000,0.2000000,0.2100000,0.2300000,0.2400000,0.2400000,0.2200000,0.2100000,0.2000000,0.1900000,0.1900000,0.1900000,0.2000000,0.2000000,0.2100000
1679,0.07,0.08,0.08,0.12,0.15,0.16,0.1600000,0.1600000,0.1600000,0.1600000,0.1700000,0.1800000,0.1900000,0.2000000,0.2000000,0.2100000,0.2100000,0.2000000,0.2000000,0.2000000,0.2100000,0.2100000,0.2200000,0.2200000,0.2300000
1680,0.07,0.08,0.08,0.12,0.17,0.17,0.1800000,0.1800000,0.1700000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1900000,0.1900000
1681,0.07,0.08,0.09,0.13,0.18,0.2,0.2000000,0.2200000,0.1900000,0.1900000,0.2000000,0.2100000,0.2200000,0.2400000,0.2500000,0.2400000,0.2300000,0.2100000,0.2000000,0.1800000,0.1900000,0.1900000,0.1900000,0.2000000,0.2000000
1682,0.07,0.08,0.08,0.12,0.17,0.19,0.1900000,0.2300000,0.1900000,0.2000000,0.2100000,0.2200000,0.2300000,0.2400000,0.2500000,0.2600000,0.2600000,0.2700000,0.2700000,0.2700000,0.2800000,0.2800000,0.2900000,0.3000000,0.3100000
1683,0.06,0.07,0.08,0.12,0.16,0.18,0.1900000,0.2100000,0.1900000,0.1900000,0.2000000,0.2200000,0.2300000,0.2500000,0.2700000,0.2800000,0.3000000,0.3100000,0.3200000,0.3300000,0.3400000,0.3400000,0.3500000,0.3600000,0.3700000
1684,0.07,0.08,0.08,0.12,0.16,0.18,0.1900000,0.2000000,0.1800000,0.1800000,0.2000000,0.2200000,0.2300000,0.2600000,0.2800000,0.2900000,0.3000000,0.3100000,0.3200000,0.3300000,0.3400000,0.3500000,0.3600000,0.3700000,0.3800000
1685,0.07,0.08,0.08,0.12,0.16,0.17,0.1800000,0.2100000,0.1900000,0.1900000,0.2000000,0.2200000,0.2300000,0.2500000,0.2600000,0.2700000,0.2700000,0.2800000,0.2800000,0.2900000,0.2900000,0.3000000,0.3100000,0.3200000,0.3200000
1686,0.07,0.08,0.08,0.12,0.15,0.16,0.1800000,0.1900000,0.1600000,0.1700000,0.1900000,0.2000000,0.2100000,0.2200000,0.2400000,0.2300000,0.2300000,0.2300000,0.2200000,0.2100000,0.2200000,0.2200000,0.2300000,0.2400000,0.2400000
1687,0.07,0.07,0.07,0.1,0.13,0.14,0.1400000,0.1600000,0.1500000,0.1400000,0.1500000,0.1700000,0.1800000,0.2000000,0.2100000,0.2100000,0.2100000,0.2100000,0.2000000,0.2000000,0.2000000,0.2100000,0.2100000,0.2200000,0.2200000
1688,0.05,0.06,0.05,0.05,0.06,0.06,0.0600000,0.0700000,0.0800000,0.0800000,0.0800000,0.0900000,0.1000000,0.1000000,0.1100000,0.1000000,0.1000000,0.0900000,0.0800000,0.0700000,0.0700000,0.0700000,0.0800000,0.0800000,0.0800000
1689,0.02,0.03,0.02,0.02,0.02,0.02,0.0200000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1690,0.02,0.02,0.01,0.01,0.02,0.02,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0300000,0.0300000
1691,0.02,0.02,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1692,0.02,0.02,0.01,0.02,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000
1693,0.01,0.02,0.01,0.02,0.02,0.04,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000
1694,0.01,0.01,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000
1695,0.01,0.01,0.01,0.01,0.02,0.03,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000
1696,0.01,0.01,0.01,0.01,0.02,0.02,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000,0.0300000
1697,0.05,0.05,0.05,0.05,0.04,0.05,0.0500000,0.0600000,0.0600000,0.0600000,0.0500000,0.0500000,0.0500000,0.0500000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000
1698,0.08,0.09,0.09,0.15,0.2,0.22,0.2400000,0.2600000,0.2300000,0.2500000,0.2600000,0.2700000,0.2800000,0.3000000,0.3100000,0.3200000,0.3400000,0.3600000,0.3800000,0.4000000,0.4100000,0.4200000,0.4300000,0.4400000,0.4500000
1699,0.08,0.08,0.09,0.14,0.19,0.21,0.2200000,0.2500000,0.2200000,0.2400000,0.2600000,0.2900000,0.3200000,0.3600000,0.3900000,0.3800000,0.3700000,0.3500000,0.3300000,0.3100000,0.3200000,0.3200000,0.3300000,0.3400000,0.3500000
1700,0.08,0.08,0.09,0.13,0.16,0.19,0.2000000,0.2200000,0.2000000,0.2100000,0.2300000,0.2500000,0.2800000,0.3100000,0.3300000,0.3200000,0.3100000,0.2900000,0.2600000,0.2400000,0.2400000,0.2500000,0.2600000,0.2600000,0.2700000
1701,0.07,0.08,0.08,0.12,0.15,0.17,0.1800000,0.1900000,0.1800000,0.1900000,0.2100000,0.2200000,0.2400000,0.2600000,0.2800000,0.2700000,0.2600000,0.2400000,0.2300000,0.2100000,0.2100000,0.2200000,0.2200000,0.2300000,0.2400000
1702,0.07,0.07,0.08,0.11,0.15,0.17,0.1700000,0.1700000,0.1600000,0.1700000,0.1800000,0.2000000,0.2100000,0.2300000,0.2400000,0.2400000,0.2200000,0.2100000,0.2000000,0.1900000,0.1900000,0.1900000,0.2000000,0.2000000,0.2100000
1703,0.07,0.08,0.08,0.12,0.15,0.16,0.1600000,0.1600000,0.1600000,0.1600000,0.1700000,0.1800000,0.1900000,0.2000000,0.2000000,0.2100000,0.2100000,0.2000000,0.2000000,0.2000000,0.2100000,0.2100000,0.2200000,0.2200000,0.2300000
1704,0.07,0.08,0.08,0.12,0.17,0.17,0.1800000,0.1800000,0.1700000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1800000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1900000,0.1900000
1705,0.07,0.08,0.09,0.13,0.18,0.2,0.2000000,0.2200000,0.1900000,0.1900000,0.2000000,0.2100000,0.2200000,0.2400000,0.2500000,0.2400000,0.2300000,0.2100000,0.2000000,0.1800000,0.1900000,0.1900000,0.1900000,0.2000000,0.2000000
